id,video,vic
"SWORD OF FARGOAL, THE",NTSC,
BALLBLAZER,NTSC,
DECATHLON (J1),NTSC,
Eidolon.d64,NTSC,
FALCON PATROL (J1),,first
FALCON PATROL II (J1),,first
GATEWAY TO APSHAI,NTSC,
GHOSTBUSTERS,NTSC,
GhostbustersIIEF.d81,,first
H.E.R.O,NTSC,
HawkeyeEF.d81,,first
IMPOSSIBLE MISSION,NTSC,
ImpossibleMissionIIEF.d81,NTSC,
PITFALL (J1),NTSC,
PITFALL II - LOST CAVERNS (J1),NTSC,
PITSTOP II,NTSC,
PITSTOP,NTSC,
RESCUE ON FRACTALUS,NTSC,
RIVER RAID (J1),NTSC,
SummerGamesEF.d64,NTSC,
SummerGamesIIEF.d81,NTSC,
WinterGamesEF.d81,NTSC,
WorldGamesEF.d81,NTSC,
