name,sys,vic,joy
1943 the battle of midway,,,1
accolade comics,NTSC,,
ace of aces,NTSC,,
agent 10 2,,,1
archon 2,NTSC,,1
archon,NTSC,,1
arena,,,1
arkanoid revenge of doh,,,1
arkanoid,,first,1
armalyte,,first,
attack of the mutant camels,,,1
aztec challenge,NTSC,,
ballblazer,NTSC,,1
blue max 2001,NTSC,,
blue max,NTSC,,
boulder dash 16,NTSC,,1
boulder dash 2 rockfords revenge,NTSC,,1
boulder dash 3,NTSC,,1
boulder dash,NTSC,,1
bruce lee,NTSC,first,1
caverns of khafka,NTSC,,
choplifter,NTSC,,1
chopper command,NTSC,,
davids midnight magic,NTSC,,
decathlon,NTSC,first,1
drol,NTSC,,1
eidolon,NTSC,,
eidolon,NTSC,,1
epyx games series collection,NTSC,,
falcon patrol 2,,first,1
falcon patrol,,first,1
forbidden forest,NTSC,,
fort apocalypse,NTSC,,
gateway to apshai,NTSC,,
ghostbusters 2,,first,
ghostbusters,NTSC,first,1
gi joe,NTSC,,
gyruss,NTSC,,1
hawkeye,,first,
hero,NTSC,,1
impossible mission 2,NTSC,,
impossible mission,NTSC,,
lode runner,NTSC,first,
pitfall 2 lost caverns,NTSC,,1
pitfall 2,NTSC,,1
pitfall,NTSC,,1
pitstop 2,NTSC,,1
pitstop,NTSC,,1
raid on bungling bay,NTSC,,
rescue on fractalus,NTSC,,
river raid,NTSC,,1
shadowfire,,first,1
shirley muldowneys top fuel challenge,NTSC,,
slinky,NTSC,,
seafox,NTSC,,1
spelunker,NTSC,first,
serpentine,NTSC,,
stealth,NTSC,,
summer games 2,NTSC,,
summer games,NTSC,,
super huey,NTSC,,
super zaxxon (hesware),NTSC,,
super zaxxon (sega),NTSC,,
sword of fargoal,NTSC,,
thrust,,,1
winter games,NTSC,,
wizard of wor,NTSC,first,
world games,NTSC,,
zaxxon (sega),NTSC,,
zaxxon (synsoft),NTSC,first,
where in europe is carmen sandiego,NTSC,,
where in usa is carmen sandiego,NTSC,,
where in world is carmen sandiego,NTSC,,
wings of fury,NTSC,,
castles of doctor creep,NTSC,,
